movie_id,user_id,rating,date
670,1960,4,2004-02-10
152,1346,4,2003-02-15
1741,785,4,2005-06-15
3032,686,5,2004-05-09
536,1894,4,2005-07-10
1717,966,5,2005-04-05
2495,138,4,2004-12-23
1009,979,5,2005-07-01
3400,139,4,2005-07-01
458,130,5,2005-01-25
258,576,5,2002-06-22
860,1561,3,2005-10-09
242,1451,4,2002-09-30
3272,115,5,2005-10-28
770,987,4,2005-06-17
3062,774,3,2005-12-11
2323,41,5,2004-06-03
2198,1108,4,2004-05-12
318,1680,4,2005-06-24
2659,1910,3,2005-09-30
178,1067,2,2003-10-23
3495,1910,4,2005-09-30
3302,1430,4,2004-11-27
2492,1345,3,2005-05-02
3454,77,4,2005-06-26
2674,1144,4,2004-01-09
1741,961,4,2005-05-17
130,1894,5,2004-06-22
1943,1068,4,2005-03-27
1936,1784,5,2005-05-10
3364,686,3,2004-10-08
1008,979,5,2004-07-05
338,1835,4,2004-09-08
3564,84,3,2005-05-31
1167,372,4,2005-06-07
3288,1176,3,2005-03-31
2977,429,3,2005-04-16
1194,1591,5,2004-09-22
2559,708,4,2005-02-21
1374,983,4,2004-10-16
913,1207,3,2005-04-03
3282,666,5,2005-06-22
2911,429,3,2005-03-28
1958,1782,3,2005-03-07
3514,859,5,2005-07-07
1844,1496,2,2005-10-26
3386,1378,4,2005-09-08
3126,1813,4,2005-01-24
1423,1591,5,2004-09-14
1672,1329,5,2005-02-13
1672,597,2,2002-01-07
3181,589,1,2005-10-03
205,1004,5,2004-02-24
2895,1946,5,2005-01-23
2977,1888,3,2004-11-16
1204,336,5,2004-10-06
3543,104,5,2005-12-30
3124,966,3,2005-07-19
183,1178,4,2004-10-15
1133,528,3,2004-12-17
306,1673,4,2004-09-20
1398,566,4,2005-09-27
2578,318,3,2004-04-20
410,1040,1,2005-06-23
1939,1356,2,2005-01-19
2843,1820,2,2003-04-03
352,1405,3,2004-12-28
3148,971,4,2005-01-10
1473,1112,1,2005-02-22
3239,1210,4,2004-03-22
362,1734,3,2005-05-13
562,497,3,2005-03-01
2885,1801,3,2004-11-15
2337,552,3,2005-08-28
3106,273,3,2005-02-23
1957,1817,4,2005-03-21
509,1591,5,2004-09-15
