Title,Instructor,Description,Rating,User_vote,Total_hours,Lecture,Level
Modern JavaScript From The Beginning,Brad Traversy,Learn and build projects with pure JavaScript  No frameworks or libraries ,4.7,23409,21.5,122,All Levels
Scrum Certification Prep PlusScrum MasterPlus Agile Scrum Training,Paul Ashun,Overview of Scrum Agile project managementPluscommon questionsPlustips to pass PSM scrum org ONLINE Scrum Master Certification,4.4,22795,3.0,70,All Levels
NodeJS   The Complete Guide MVC  REST APIs  GraphQL  Deno,Academind by Maximilian Schwarzm ller  Maximilian Schwarzm ller,Master Node JS and Deno js  build REST APIs with Node js  GraphQL APIs  add Authentication  use MongoDB  SQL and much more ,4.7,22601,40.5,541,All Levels
The Complete Angular Course  Beginner to Advanced,Mosh Hamedani,The most comprehensive Angular 4  Angular 2Plus  course  Build a real e commerce app with Angular  Firebase and Bootstrap 4,4.4,22477,29.5,376,All Levels
CHash Intermediate  Classes  Interfaces and OOP,Mosh Hamedani,An in depth  step by step guide to classes  interfaces and object oriented programming  OOP  with CHash,4.6,21967,6.0,45,Intermediate
The Modern Python 3 Bootcamp,Colt Steele,A Unique Interactive Python Experience With Nearly 200 Exercises and Quizzes,4.7,21834,30.5,376,Beginner
The Complete Python 3 Course  Beginner to Advanced ,Joseph Delgadillo  Nick Germaine,Learn Python with projects covering game and web development  web scraping  MongoDB  Django  PyQt  and data visualization ,4.2,21006,18.0,147,All Levels
Apache Kafka Series   Learn Apache Kafka for Beginners v2,Stephane Maarek   AWS Certified Solutions Architect   Developer Associate,START HERE  Learn Apache Kafka 2 0 Ecosystem  Core Concepts  Real World Java Producers Consumers and Big Data Architecture,4.7,20328,7.5,123,All Levels
Statistics for Data Science and Business Analysis,365 Careers  365 Careers Team,Statistics you need in the office  Descriptive and Inferential statistics  Hypothesis testing  Regression analysis,4.5,19996,5.0,92,All Levels
Learn and Understand AngularJS,Anthony Alicea,Master AngularJS and the Javascript concepts behind it  design custom directives  and build a single page application ,4.5,19469,7.0,55,All Levels
Python A Z   Python For Data Science With Real Exercises ,Kirill Eremenko  SuperDataScience Team,Programming In Python For Data Analytics And Data Science  Learn Statistical Analysis  Data Mining And Visualization,4.6,19202,11.0,75,All Levels
Understanding TypeScript   2021 Edition,Maximilian Schwarzm ller,Don t limit the Usage of TypeScript to Angular  Learn the Basics  its Features  Workflows and how to use it ,4.7,19025,15.0,197,All Levels
React Native   The Practical Guide  2021 Edition ,Academind by Maximilian Schwarzm ller  Maximilian Schwarzm ller,Use React Native and your React knowledge to build native iOS and Android Apps   incl  Push Notifications  Hooks  Redux,4.6,18999,33.0,344,All Levels
Angular and NodeJS   The MEAN Stack Guide  2021 Edition ,Maximilian Schwarzm ller,Learn how to connect your Angular Frontend to a NodeJS and Express and MongoDB Backend by building a real Application,4.6,18905,13.0,151,All Levels
PHP for Beginners   Become a PHP Master   CMS Project,Edwin Diaz  Coding Faculty Solutions,PHP for Beginners  learn everything you need to become a professional PHP developer with practical exercises and projects ,4.4,18619,37.5,340,All Levels
The Complete React Developer Course w  Hooks and Redux,Andrew Mead,Learn how to build and launch React web applications using React  Redux  Webpack  React Router  and more ,4.6,18343,39.0,200,Beginner
Python for Absolute Beginners,Green Chameleon Learning,Learn Python programming from scratch with hands on exercises in this Python course ,4.4,18113,4.5,110,Beginner
Artificial Intelligence A Z   Learn How To Build An AI,Hadelin de Ponteves  Kirill Eremenko  SuperDataScience Team  SuperDataScience Support  Luka Anicin,Combine the power of Data Science  Machine Learning and Deep Learning to create powerful AI for Real World applications ,4.3,17540,16.5,120,All Levels
C Programming For Beginners   Master the C Language,Tim Buchalka s Learn Programming Academy  Jason Fedin,C Programming will increase career options   Become a better dev in other languages by learning C    Pointers explained,4.4,17469,24.0,137,All Levels
Python for beginners,Bharath Thippireddy,Master the fundamentals of Python while working on various usecases in easy steps,4.4,17218,10.0,229,All Levels
Go  The Complete Developer s Guide Golang,Stephen Grider,Master the fundamentals and advanced features of the Go Programming Language  Golang ,4.6,16580,9.0,82,All Levels
Learn How To Code  Google s Go golang Programming Language,Todd McLeod,The Ultimate Comprehensive Course   Perfect for Both Beginners and Experienced Developers,4.5,16322,46.5,373,All Levels
Angular Crash Course for Busy Developers,Mosh Hamedani,Have limited time to learn Angular 4  Angular 2Plus   Take this course and learn Angular in 10 hours ,4.5,16017,10.5,137,All Levels
Modern HTML and CSS From The Beginning Including Sass,Brad Traversy,Build modern responsive websites and UIs with HTML5  CSS3 and Sass  Learn Flex and CSS Grid,4.7,15957,21.0,129,All Levels
Learning Python for Data Analysis and Visualization,Jose Portilla,Learn python and how to use it to analyze visualize and present data  Includes tons of sample code and hours of video ,4.3,15726,21.0,110,All Levels
Complete Guide to TensorFlow for Deep Learning with Python,Jose Portilla,Learn how to use Google s Deep Learning Framework   TensorFlow with Python  Solve problems with cutting edge techniques ,4.5,15601,14.0,96,Intermediate
Learn JIRA with real world examples PlusConfluence bonus,Kosh Sarkar,Learn to work on  manage and administer agile projects with this comprehensive course on JIRA Software and Confluence,4.6,15503,11.0,84,All Levels
Git Complete  The definitive  step by step guide to Git,Jason Taylor,Go from zero to hero with Git source control step by step with easy to understand examples  Become the next Git expert ,4.4,15202,6.0,84,All Levels
Mastering Data Structures and Algorithms using C and CPlusPlus,Abdul Bari,Learn  Analyse and Implement Data Structure using C and CPlusPlus  Learn Recursion and Sorting ,4.7,15130,58.5,389,All Levels
100 Days of Code   The Complete Python Pro Bootcamp for 2021,Dr  Angela Yu,Master Python by building 100 projects in 100 days  Learn to build websites  games  apps  plus scraping and data science,4.7,15066,63.5,675,All Levels
Python for Financial Analysis and Algorithmic Trading,Jose Portilla,Learn numpy   pandas   matplotlib   quantopian   finance   and more for algorithmic trading with Python ,4.5,14707,16.5,120,All Levels
Rest API Testing Automation from Scratch  RestAssured Java,Rahul Shetty, Top Ranked Hash1 Rest API Test Automation and POSTMAN course from Basics to Framework with tons of Real time examples,4.5,14678,24.5,155,All Levels
The Complete Android Oreo Developer Course   Build 23 Apps ,Rob Percival  Nick Walter  Codestars by Rob Percival,Learn Android O App Development using Java and Kotlin   build real apps including Super Mario Run  Whatsapp and Instagram ,4.4,14690,37.5,272,All Levels
Web Design for Beginners  Real World Coding in HTML and CSS,Brad Schiff,Launch a career as a web designer by learning HTML5  CSS3  responsive design  Sass and more ,4.6,14626,11.0,71,All Levels
CHash Advanced Topics  Prepare for Technical Interviews,Mosh Hamedani,Master the confusing CHash constructs  Events  Delegates  Lambda Expressions  LINQ  Async Await and more ,4.5,14376,3.0,21,Intermediate
The Ultimate Guide to Game Development with Unity 2019,Jonathan Weinberger  Unity Technologies,Created in partnership with Unity Technologies  learn CHash by developing 2D and 3D games with this comprehensive guide,4.6,14116,21.0,301,Beginner
Selenium WebDriver Training with Java and Many Live Projects,Rahul Arora,Hash1 TOP RATED  BEST SELLER Course on SELENIUM  Trusted by 3 00 000Plus students with Many Live Projects and Frameworks,4.4,14012,135.0,375,All Levels
Build an app with ASPNET Core and Angular from scratch,Neil Cummings,A practical example of how to build an application with ASP NET Core API   Net 5 0  and Angular 10 from start to finish,4.6,13910,57.5,476,Beginner
iOS 10 and Swift 3  From Beginner to Paid Professional ,Mark Wahlbeck  Devslopes by Mark Wahlbeck,The most comprehensive course on iOS development   become a master of app development,4.1,13637,71.0,251,All Levels
The Ultimate Excel Programmer Course,Daniel Strong,Learn Excel VBA from Scratch with Dan Strong  Bestselling Excel Expert with Over 180K Students Worldwide ,4.5,13625,12.5,212,All Levels
Java Programming for Complete Beginners,in28Minutes Official,Learn Java Programming with 200Plus examples  For Java Beginners  Learn Java Object Oriented Programming Now ,4.4,13596,26.0,302,Beginner
Spark and Python for Big Data with PySpark,Jose Portilla,Learn how to use Spark with Python  including Spark Streaming  Machine Learning  Spark 2 0 DataFrames and more ,4.5,13567,10.5,67,Intermediate
