Instructor,User_vote,Total_hours,Lecture,Level,Rating
Brad Traversy,23409,21.5,122,All Levels,4.7
Paul Ashun,22795,3.0,70,All Levels,4.4
Academind by Maximilian Schwarzm ller  Maximilian Schwarzm ller,22601,40.5,541,All Levels,4.7
Mosh Hamedani,22477,29.5,376,All Levels,4.4
Mosh Hamedani,21967,6.0,45,Intermediate,4.6
Colt Steele,21834,30.5,376,Beginner,4.7
Joseph Delgadillo  Nick Germaine,21006,18.0,147,All Levels,4.2
Stephane Maarek   AWS Certified Solutions Architect   Developer Associate,20328,7.5,123,All Levels,4.7
365 Careers  365 Careers Team,19996,5.0,92,All Levels,4.5
Anthony Alicea,19469,7.0,55,All Levels,4.5
Kirill Eremenko  SuperDataScience Team,19202,11.0,75,All Levels,4.6
Maximilian Schwarzm ller,19025,15.0,197,All Levels,4.7
Academind by Maximilian Schwarzm ller  Maximilian Schwarzm ller,18999,33.0,344,All Levels,4.6
Maximilian Schwarzm ller,18905,13.0,151,All Levels,4.6
Edwin Diaz  Coding Faculty Solutions,18619,37.5,340,All Levels,4.4
Andrew Mead,18343,39.0,200,Beginner,4.6
Green Chameleon Learning,18113,4.5,110,Beginner,4.4
Hadelin de Ponteves  Kirill Eremenko  SuperDataScience Team  SuperDataScience Support  Luka Anicin,17540,16.5,120,All Levels,4.3
Tim Buchalka s Learn Programming Academy  Jason Fedin,17469,24.0,137,All Levels,4.4
Bharath Thippireddy,17218,10.0,229,All Levels,4.4
Stephen Grider,16580,9.0,82,All Levels,4.6
Todd McLeod,16322,46.5,373,All Levels,4.5
Mosh Hamedani,16017,10.5,137,All Levels,4.5
Brad Traversy,15957,21.0,129,All Levels,4.7
Jose Portilla,15726,21.0,110,All Levels,4.3
Jose Portilla,15601,14.0,96,Intermediate,4.5
Kosh Sarkar,15503,11.0,84,All Levels,4.6
Jason Taylor,15202,6.0,84,All Levels,4.4
Abdul Bari,15130,58.5,389,All Levels,4.7
Dr  Angela Yu,15066,63.5,675,All Levels,4.7
Jose Portilla,14707,16.5,120,All Levels,4.5
Rahul Shetty,14678,24.5,155,All Levels,4.5
Rob Percival  Nick Walter  Codestars by Rob Percival,14690,37.5,272,All Levels,4.4
Brad Schiff,14626,11.0,71,All Levels,4.6
Mosh Hamedani,14376,3.0,21,Intermediate,4.5
Jonathan Weinberger  Unity Technologies,14116,21.0,301,Beginner,4.6
Rahul Arora,14012,135.0,375,All Levels,4.4
Neil Cummings,13910,57.5,476,Beginner,4.6
Mark Wahlbeck  Devslopes by Mark Wahlbeck,13637,71.0,251,All Levels,4.1
Daniel Strong,13625,12.5,212,All Levels,4.5
in28Minutes Official,13596,26.0,302,Beginner,4.4
Jose Portilla,13567,10.5,67,Intermediate,4.5
Brad Schiff,13545,26.5,125,All Levels,4.7
Brad Traversy,13507,11.5,74,All Levels,4.7
John Thompson,13482,57.0,524,All Levels,4.4
Maximilian Schwarzm ller,13412,20.5,285,All Levels,4.7
Rob Percival  Gregg Davis  Codestars by Rob Percival,13256,22.0,115,All Levels,4.4
Jason Cannon,13110,3.0,78,All Levels,4.5
Codestars by Rob Percival  Jose Salvatierra  Rob Percival  Teclado by Jose Salvatierra,12759,35.5,343,All Levels,4.6
Stephen Grider,12676,26.0,211,All Levels,4.7
Sundog Education by Frank Kane  Frank Kane,12655,9.0,67,All Levels,4.5
Jose Portilla,12600,18.0,128,All Levels,4.6
Colt Steele,12532,22.0,249,All Levels,4.7
Andrei Neagoie,12528,19.5,258,All Levels,4.7
Zaid Sabih  z Security,12431,24.5,180,All Levels,4.6
Academind by Maximilian Schwarzm ller  Maximilian Schwarzm ller,12459,52.5,615,All Levels,4.6
Jose Salvatierra  Teclado by Jose Salvatierra,12269,17.0,155,Intermediate,4.6
Andrei Neagoie  Yihua Zhang,12242,40.5,360,All Levels,4.6
Boris Paskhaver,12168,20.5,169,All Levels,4.7
Brad Traversy,12109,12.0,73,Intermediate,4.7
Bo Andersen,12055,12.0,143,All Levels,4.5
Hendrik Kleine,11948,4.0,74,Beginner,4.5
Stephen Grider,11723,24.0,250,All Levels,4.6
Brad Hussey  Code College,11694,32.5,246,All Levels,4.4
Rob Percival  Mashrur Hossain  Codestars by Rob Percival,11617,48.0,432,All Levels,4.6
Dheeru Mundluru,11480,67.5,363,All Levels,4.5
Stephen Grider,11391,13.0,135,All Levels,4.7
Tao W   Level Up  James Lee,11366,3.0,49,All Levels,4.4
Scott Duffy    460 000  Students  Software Architect ca,11306,10.5,170,All Levels,4.4
Academind by Maximilian Schwarzm ller  Maximilian Schwarzm ller,11228,17.5,265,All Levels,4.7
